lemma,Word,Perc_known,AoA_Kup_lem,nlp,pos
roadsweeper,roadsweeper,1.0,9.83,roadsweeper,PROPN
traindriver,traindriver,1.0,8.34,traindriver,X
tush,tush,0.95,8.29,tush,NOUN
hairdress,hairdress,0.95,8.86,hairdress,PROPN
pharmaceutic,pharmaceutics,1.0,13.88,pharmaceutics,NOUN
hoover,hoover,0.95,9.16,hoover,PROPN
shopkeeping,shopkeeping,1.0,11.07,shopkeeping,PROPN
pushiness,pushiness,1.0,8.5,pushiness,NOUN
underdevelop,underdevelop,1.0,10.88,underdevelop,NOUN
tirelessness,tirelessness,0.95,10.12,tirelessness,PROPN
oldfashioned,oldfashioned,1.0,8.61,oldfashioned,ADJ
wellmannere,wellmannered,1.0,8.21,wellmannered,VERB
dismissiveness,dismissiveness,1.0,12.13,dismissiveness,NOUN
spitefulness,spitefulness,1.0,11.22,spitefulness,NOUN
untruthfulness,untruthfulness,1.0,8.96,untruthfulness,NOUN
dispiritedness,dispiritedness,0.86,14.67,dispiritedness,PROPN
sled,sled,1.0,4.89,sled,PROPN
sled,sledding,1.0,4.89,sledding,VERB
sled,sleds,1.0,4.89,sleds,NOUN
plunger,plunger,1.0,9.63,plunger,VERB
plunger,plungers,0.99,9.63,plungers,NOUN
human,human,1.0,4.83,human,ADJ
human,humans,1.0,4.83,humans,NOUN
waterbed,waterbed,1.0,7.17,waterbed,NOUN
waterbed,waterbeds,1.0,7.17,waterbeds,NOUN
cymbal,cymbal,0.89,9.94,cymbal,PROPN
ginger,ginger,1.0,8.05,ginger,NOUN
bobsle,bobsled,0.89,9.38,bobsled,VERB
bobsled,bobsleds,0.86,9.38,bobsleds,NOUN
cardboard,cardboard,1.0,5.4,cardboard,NOUN
olive,olive,1.0,6.68,olive,NOUN
olive,olives,1.0,6.68,olives,NOUN
dogsled,dogsled,0.94,7.71,dogsled,PROPN
dogsled,dogsleds,0.95,7.71,dogsleds,NOUN
rubber,rubber,1.0,7.62,rubber,NOUN
rubber,rubbers,0.94,7.62,rubbers,NOUN
soybean,soybean,1.0,11.6,soybean,NOUN
soybean,soybeans,0.85,11.6,soybeans,NOUN
tangerine,tangerine,1.0,8.15,tangerine,NOUN
tangerine,tangerines,0.94,8.15,tangerines,NOUN
